TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63805888483524,2.0,0.6,0.0,0.0,1.5,--
63805888484527,4.0,2.5,0.0,0.0,1.5,--
63805888485525,3.3,1.8,0.0,0.0,1.5,--
63805888486530,3.0,1.5,0.0,0.0,1.5,--
63805888487540,2.1,0.6,0.0,0.0,1.5,--
63805888488557,5.3,3.8,0.0,0.0,1.5,--
63805888489581,3.7,2.2,0.0,0.0,1.5,--
63805888490581,2.6,1.1,0.0,0.0,1.5,--
63805888491592,3.5,2.0,0.0,0.0,1.5,--
63805888492590,2.8,1.3,0.0,0.0,1.5,--
63805888493587,5.3,3.9,0.0,0.0,1.5,--
63805888494585,2.1,0.6,0.0,0.0,1.5,--
63805888495582,3.5,2.0,0.0,0.0,1.5,--
63805888496609,3.3,1.8,0.0,0.0,1.5,--
63805888497600,4.9,3.4,0.0,0.0,1.5,--
63805888498602,4.2,2.8,0.0,0.0,1.5,--
63805888499652,3.3,1.8,0.0,0.0,1.5,--
63805888500650,5.1,3.6,0.0,0.0,1.5,--
63805888501645,3.2,1.7,0.0,0.0,1.5,--
63805888502645,1.8,0.3,0.0,0.0,1.5,--
63805888503663,3.4,1.9,0.0,0.0,1.5,--
63805888504677,2.3,0.8,0.0,0.0,1.5,--
63805888505675,1.9,0.4,0.0,0.0,1.5,--
63805888506701,2.5,1.0,0.0,0.0,1.5,--
63805888507706,2.1,0.6,0.0,0.0,1.5,--
63805888508705,2.8,1.3,0.0,0.0,1.5,--
63805888509715,2.3,0.8,0.0,0.0,1.5,--
63805888510730,2.3,0.8,0.0,0.0,1.5,--
63805888511748,2.1,0.6,0.0,0.0,1.5,--
63805888512761,2.7,1.2,0.0,0.0,1.5,--
63805888513775,3.0,1.5,0.0,0.0,1.5,--
63805888514774,2.6,1.1,0.0,0.0,1.5,--
63805888515774,1.8,0.3,0.0,0.0,1.5,--
63805888516774,2.2,0.7,0.0,0.0,1.5,--
63805888517776,2.0,0.6,0.0,0.0,1.5,--
63805888518783,2.4,0.9,0.0,0.0,1.5,--
63805888519786,2.2,0.7,0.0,0.0,1.5,--
63805888520788,2.8,1.3,0.0,0.0,1.5,--
63805888521799,1.9,0.4,0.0,0.0,1.5,--
63805888522830,2.3,0.8,0.0,0.0,1.5,--
63805888523831,2.0,0.6,0.0,0.0,1.5,--
63805888524844,2.3,0.8,0.0,0.0,1.5,--
63805888525860,3.3,1.8,0.0,0.0,1.5,--
63805888526863,2.2,0.7,0.0,0.0,1.5,--
63805888527866,2.2,0.7,0.0,0.0,1.5,--
63805888528877,2.3,0.8,0.0,0.0,1.5,--
63805888529890,2.1,0.6,0.0,0.0,1.5,--
63805888530904,4.0,2.5,0.0,0.0,1.5,--
63805888531919,2.1,0.6,0.0,0.0,1.5,--
63805888532929,2.3,0.8,0.0,0.0,1.5,--
63805888533948,1.9,0.4,0.0,0.0,1.5,--
63805888534964,3.1,1.6,0.0,0.0,1.5,--
63805888535969,3.4,2.0,0.0,0.0,1.5,--
63805888536971,2.2,0.7,0.0,0.0,1.5,--
63805888538002,2.2,0.7,0.0,0.0,1.5,--
63805888539015,2.2,0.7,0.0,0.0,1.5,--
63805888540027,2.0,0.5,0.0,0.0,1.5,--
63805888541021,3.0,1.5,0.0,0.0,1.5,--
63805888542021,2.1,0.6,0.0,0.0,1.5,--
63805888543024,1.9,0.4,0.0,0.0,1.5,--
63805888544026,2.2,0.7,0.0,0.0,1.5,--
63805888545023,1.8,0.4,0.0,0.0,1.5,--
63805888546027,2.7,1.2,0.0,0.0,1.5,--
63805888547021,2.2,0.7,0.0,0.0,1.5,--
63805888548022,1.9,0.4,0.0,0.0,1.5,--
63805888549022,2.1,0.6,0.0,0.0,1.5,--
63805888550023,2.2,0.7,0.0,0.0,1.5,--
63805888551029,2.8,1.3,0.0,0.0,1.5,--
63805888552040,1.9,0.5,0.0,0.0,1.5,--
63805888553049,2.7,1.2,0.0,0.0,1.5,--
63805888554061,2.2,0.8,0.0,0.0,1.5,--
63805888555066,2.0,0.5,0.0,0.0,1.5,--
63805888556095,3.5,2.0,0.0,0.0,1.5,--
63805888557106,3.3,1.8,0.0,0.0,1.5,--
63805888558113,2.1,0.6,0.0,0.0,1.5,--
63805888559123,2.0,0.5,0.0,0.0,1.5,--
63805888560124,2.2,0.7,0.0,0.0,1.5,--
63805888561116,3.4,1.9,0.0,0.0,1.5,--
63805888562123,2.1,0.6,0.0,0.0,1.5,--
63805888563120,2.0,0.6,0.0,0.0,1.5,--
63805888564115,2.5,1.1,0.0,0.0,1.5,--
63805888565116,2.9,1.4,0.0,0.0,1.5,--
63805888566129,3.2,1.7,0.0,0.0,1.5,--
63805888567132,3.0,1.5,0.0,0.0,1.5,--
63805888568129,2.4,0.9,0.0,0.0,1.5,--
63805888569155,3.4,2.0,0.0,0.0,1.5,--
63805888570155,2.2,0.7,0.0,0.0,1.5,--
63805888571159,3.9,2.4,0.0,0.0,1.5,--
63805888572169,2.4,0.9,0.0,0.0,1.5,--
63805888573172,3.9,2.4,0.0,0.0,1.5,--
63805888574200,1.7,0.3,0.0,0.0,1.5,--
63805888575232,1.7,0.2,0.0,0.0,1.5,--
63805888576243,4.2,2.7,0.0,0.0,1.5,--
63805888577246,2.8,1.3,0.0,0.0,1.5,--
63805888578262,2.1,0.6,0.0,0.0,1.5,--
63805888579279,2.6,1.1,0.0,0.0,1.5,--
63805888580275,2.1,0.6,0.0,0.0,1.5,--
63805888581275,3.0,1.5,0.0,0.0,1.5,--
63805888582285,2.4,0.9,0.0,0.0,1.5,--
63805888583295,2.0,0.6,0.0,0.0,1.5,--
63805888584306,1.7,0.3,0.0,0.0,1.5,--
63805888585322,1.7,0.2,0.0,0.0,1.5,--
63805888586330,2.3,0.9,0.0,0.0,1.5,--
63805888587340,2.9,1.4,0.0,0.0,1.5,--
63805888588353,1.8,0.3,0.0,0.0,1.5,--
63805888589352,1.9,0.4,0.0,0.0,1.5,--
63805888590356,3.8,2.3,0.0,0.0,1.5,--
63805888591347,2.3,0.8,0.0,0.0,1.5,--
63805888592359,3.3,1.8,0.0,0.0,1.5,--
63805888593380,2.9,1.4,0.0,0.0,1.5,--
63805888594393,2.0,0.5,0.0,0.0,1.5,--
63805888595407,2.2,0.8,0.0,0.0,1.5,--
63805888596428,1.8,0.3,0.0,0.0,1.5,--
63805888597441,3.1,1.6,0.0,0.0,1.5,--
63805888598443,2.0,0.5,0.0,0.0,1.5,--
63805888599447,1.7,0.2,0.0,0.0,1.5,--
63805888600445,1.7,0.3,0.0,0.0,1.5,--
63805888601447,1.8,0.4,0.0,0.0,1.5,--
63805888602449,2.4,1.0,0.0,0.0,1.5,--
63805888603447,1.8,0.3,0.0,0.0,1.5,--
63805888604444,1.8,0.3,0.0,0.0,1.5,--
63805888605446,2.5,1.0,0.0,0.0,1.5,--
63805888606446,3.3,1.8,0.0,0.0,1.5,--
63805888607446,4.5,3.1,0.0,0.0,1.5,--
63805888608464,2.8,1.3,0.0,0.0,1.5,--
63805888609480,2.2,0.8,0.0,0.0,1.5,--
63805888610475,2.4,1.0,0.0,0.0,1.5,--
63805888611479,5.7,4.3,0.0,0.0,1.5,--
63805888612492,3.2,1.7,0.0,0.0,1.5,--
63805888613491,2.7,1.2,0.0,0.0,1.5,--
63805888614494,2.0,0.5,0.0,0.0,1.5,--
63805888615510,3.6,2.1,0.0,0.0,1.5,--
63805888616524,3.7,2.3,0.0,0.0,1.5,--
63805888617537,3.9,2.5,0.0,0.0,1.5,--
63805888618557,3.2,1.7,0.0,0.0,1.5,--
63805888619576,2.7,1.2,0.0,0.0,1.5,--
63805888620583,4.0,2.6,0.0,0.0,1.5,--
63805888621610,2.8,1.3,0.0,0.0,1.5,--
63805888622629,2.9,1.4,0.0,0.0,1.5,--
63805888623646,5.2,3.7,0.0,0.0,1.5,--
63805888624644,4.5,3.0,0.0,0.0,1.5,--
63805888625657,3.4,1.9,0.0,0.0,1.5,--
63805888626686,2.1,0.6,0.0,0.0,1.5,--
63805888627688,3.4,1.9,0.0,0.0,1.5,--
63805888628704,3.5,2.0,0.0,0.0,1.5,--
63805888629722,2.0,0.5,0.0,0.0,1.5,--
63805888630735,2.3,0.8,0.0,0.0,1.5,--
63805888631748,2.2,0.7,0.0,0.0,1.5,--
63805888632743,2.9,1.5,0.0,0.0,1.5,--
63805888633747,2.5,1.0,0.0,0.0,1.5,--
63805888634751,1.9,0.5,0.0,0.0,1.5,--
63805888635780,2.1,0.6,0.0,0.0,1.5,--
63805888636777,2.1,0.6,0.0,0.0,1.5,--
63805888637774,2.8,1.3,0.0,0.0,1.5,--
63805888638773,2.5,1.0,0.0,0.0,1.5,--
63805888639786,2.2,0.7,0.0,0.0,1.5,--
63805888640783,2.6,1.2,0.0,0.0,1.5,--
63805888641786,2.7,1.2,0.0,0.0,1.5,--
63805888642792,2.9,1.4,0.0,0.0,1.5,--
63805888643790,2.9,1.4,0.0,0.0,1.5,--
63805888644808,2.4,0.9,0.0,0.0,1.5,--
63805888645820,1.9,0.5,0.0,0.0,1.5,--
63805888646817,2.3,0.8,0.0,0.0,1.5,--
63805888647825,3.2,1.8,0.0,0.0,1.5,--
63805888648816,3.2,1.8,0.0,0.0,1.5,--
63805888649820,1.9,0.4,0.0,0.0,1.5,--
63805888650821,2.2,0.7,0.0,0.0,1.5,--
63805888651825,2.0,0.5,0.0,0.0,1.5,--
63805888652823,2.2,0.7,0.0,0.0,1.5,--
63805888653823,3.0,1.5,0.0,0.0,1.5,--
63805888654837,2.2,0.7,0.0,0.0,1.5,--
63805888655850,2.3,0.9,0.0,0.0,1.5,--
63805888656856,2.0,0.5,0.0,0.0,1.5,--
63805888657871,1.8,0.3,0.0,0.0,1.5,--
63805888658870,2.5,1.0,0.0,0.0,1.5,--
63805888659883,1.9,0.4,0.0,0.0,1.5,--
63805888660892,2.3,0.8,0.0,0.0,1.5,--
63805888661908,2.6,1.2,0.0,0.0,1.5,--
63805888662939,3.7,2.2,0.0,0.0,1.5,--
63805888663946,5.9,4.4,0.0,0.0,1.5,--
63805888664950,4.8,3.3,0.0,0.0,1.5,--
63805888665955,2.2,0.7,0.0,0.0,1.5,--
63805888666963,3.3,1.9,0.0,0.0,1.5,--
63805888667975,3.3,1.8,0.0,0.0,1.5,--
63805888668991,5.3,3.8,0.0,0.0,1.5,--
63805888670000,4.3,2.8,0.0,0.0,1.5,--
63805888671021,3.0,1.6,0.0,0.0,1.5,--
63805888672034,2.3,0.8,0.0,0.0,1.5,--
63805888673046,3.7,2.2,0.0,0.0,1.5,--
63805888674044,4.6,3.2,0.0,0.0,1.5,--
63805888675038,2.3,0.8,0.0,0.0,1.5,--
63805888676054,2.0,0.5,0.0,0.0,1.5,--
63805888677067,1.7,0.2,0.0,0.0,1.5,--
63805888678079,2.0,0.5,0.0,0.0,1.5,--
63805888679085,2.5,1.0,0.0,0.0,1.5,--
63805888680099,1.8,0.3,0.0,0.0,1.5,--
63805888681115,1.7,0.3,0.0,0.0,1.5,--
63805888682123,2.1,0.7,0.0,0.0,1.5,--
63805888683113,1.8,0.4,0.0,0.0,1.5,--
63805888684113,3.2,1.7,0.0,0.0,1.5,--
63805888685128,2.2,0.8,0.0,0.0,1.5,--
63805888686142,2.5,1.0,0.0,0.0,1.5,--
63805888687156,2.4,0.9,0.0,0.0,1.5,--
63805888688162,2.1,0.6,0.0,0.0,1.5,--
63805888689168,5.4,3.9,0.0,0.0,1.5,--
63805888690168,2.2,0.7,0.0,0.0,1.5,--
63805888691179,3.3,1.8,0.0,0.0,1.5,--
63805888692176,3.7,2.3,0.0,0.0,1.5,--
63805888693176,2.7,1.3,0.0,0.0,1.5,--
63805888694202,3.2,1.7,0.0,0.0,1.5,--
63805888695199,2.2,0.7,0.0,0.0,1.5,--
63805888696199,2.5,1.1,0.0,0.0,1.5,--
63805888697203,4.7,3.2,0.0,0.0,1.5,--
63805888698214,2.6,1.1,0.0,0.0,1.5,--
63805888699213,2.6,1.1,0.0,0.0,1.5,--
63805888700230,2.7,1.3,0.0,0.0,1.5,--
63805888701231,2.6,1.2,0.0,0.0,1.5,--
63805888702244,1.9,0.4,0.0,0.0,1.5,--
63805888703268,2.5,1.0,0.0,0.0,1.5,--
63805888704269,3.3,1.8,0.0,0.0,1.5,--
63805888705282,3.6,2.1,0.0,0.0,1.5,--
63805888706300,2.6,1.1,0.0,0.0,1.5,--
63805888707317,2.7,1.2,0.0,0.0,1.5,--
63805888708316,2.2,0.7,0.0,0.0,1.5,--
63805888709330,2.4,0.9,0.0,0.0,1.5,--
63805888710352,4.0,2.6,0.0,0.0,1.5,--
63805888711351,2.3,0.8,0.0,0.0,1.5,--
63805888712349,1.9,0.5,0.0,0.0,1.5,--
63805888713347,5.1,3.6,0.0,0.0,1.5,--
63805888714371,4.0,2.6,0.0,0.0,1.5,--
63805888715382,3.6,2.1,0.0,0.0,1.5,--
63805888716392,2.2,0.7,0.0,0.0,1.5,--
63805888717405,2.3,0.8,0.0,0.0,1.5,--
63805888718395,4.9,3.4,0.0,0.0,1.5,--
63805888719394,1.9,0.5,0.0,0.0,1.5,--
63805888720395,3.3,1.8,0.0,0.0,1.5,--
63805888721400,3.0,1.6,0.0,0.0,1.5,--
63805888722411,2.2,0.7,0.0,0.0,1.5,--
63805888723437,2.1,0.7,0.0,0.0,1.5,--
63805888724435,2.0,0.5,0.0,0.0,1.5,--
63805888725450,3.0,1.5,0.0,0.0,1.5,--
63805888726457,1.9,0.4,0.0,0.0,1.5,--
63805888727471,3.5,2.0,0.0,0.0,1.5,--
63805888728488,4.8,3.3,0.0,0.0,1.5,--
63805888729501,2.2,0.7,0.0,0.0,1.5,--
63805888730494,3.5,2.0,0.0,0.0,1.5,--
63805888731491,2.1,0.6,0.0,0.0,1.5,--
63805888732490,2.3,0.8,0.0,0.0,1.5,--
63805888733497,4.8,3.3,0.0,0.0,1.5,--
63805888734493,3.7,2.2,0.0,0.0,1.5,--
63805888735494,5.1,3.6,0.0,0.0,1.5,--
63805888736496,2.2,0.7,0.0,0.0,1.5,--
63805888737493,2.1,0.6,0.0,0.0,1.5,--
63805888738507,1.8,0.3,0.0,0.0,1.5,--
63805888739506,1.7,0.2,0.0,0.0,1.5,--
63805888740516,3.6,2.2,0.0,0.0,1.5,--
63805888741540,2.1,0.6,0.0,0.0,1.5,--
63805888742546,2.4,1.0,0.0,0.0,1.5,--
63805888743552,1.9,0.4,0.0,0.0,1.5,--
63805888744580,2.4,0.9,0.0,0.0,1.5,--
63805888745597,3.0,1.5,0.0,0.0,1.5,--
63805888746617,2.9,1.4,0.0,0.0,1.5,--
63805888747616,1.8,0.3,0.0,0.0,1.5,--
63805888748613,1.6,0.2,0.0,0.0,1.5,--
63805888749617,1.8,0.3,0.0,0.0,1.5,--
63805888750613,3.4,1.9,0.0,0.0,1.5,--
63805888751614,2.1,0.6,0.0,0.0,1.5,--
63805888752616,1.9,0.5,0.0,0.0,1.5,--
63805888753615,2.0,0.6,0.0,0.0,1.5,--
63805888754615,1.7,0.2,0.0,0.0,1.5,--
63805888755620,2.4,0.9,0.0,0.0,1.5,--
63805888756619,2.0,0.5,0.0,0.0,1.5,--
63805888757621,2.3,0.8,0.0,0.0,1.5,--
63805888758624,2.2,0.7,0.0,0.0,1.5,--
63805888759636,2.0,0.5,0.0,0.0,1.5,--
63805888760634,2.8,1.4,0.0,0.0,1.5,--
63805888761638,2.4,0.9,0.0,0.0,1.5,--
63805888762634,2.9,1.5,0.0,0.0,1.5,--
63805888763647,1.9,0.4,0.0,0.0,1.5,--
63805888764650,2.4,0.9,0.0,0.0,1.5,--
63805888765646,3.4,1.9,0.0,0.0,1.5,--
63805888766647,2.8,1.4,0.0,0.0,1.5,--
63805888767652,1.9,0.4,0.0,0.0,1.5,--
63805888768655,1.9,0.4,0.0,0.0,1.5,--
63805888769658,2.5,1.1,0.0,0.0,1.5,--
63805888770684,2.1,0.7,0.0,0.0,1.5,--
63805888771676,3.6,2.2,0.0,0.0,1.5,--
63805888772692,2.4,0.9,0.0,0.0,1.5,--
63805888773709,1.8,0.3,0.0,0.0,1.5,--
63805888774718,2.4,0.9,0.0,0.0,1.5,--
63805888775728,2.4,0.9,0.0,0.0,1.5,--
63805888776737,3.2,1.7,0.0,0.0,1.5,--
63805888777750,2.8,1.3,0.0,0.0,1.5,--
63805888778754,2.5,1.0,0.0,0.0,1.5,--
63805888779779,2.8,1.3,0.0,0.0,1.5,--
63805888780789,2.4,0.9,0.0,0.0,1.5,--
63805888781790,3.9,2.4,0.0,0.0,1.5,--
63805888782806,1.7,0.3,0.0,0.0,1.5,--
63805888783802,1.7,0.3,0.0,0.0,1.5,--
63805888784805,1.8,0.3,0.0,0.0,1.5,--
63805888785804,2.6,1.1,0.0,0.0,1.5,--
63805888786814,3.4,1.9,0.0,0.0,1.5,--
63805888787833,2.1,0.6,0.0,0.0,1.5,--
63805888788852,2.0,0.6,0.0,0.0,1.5,--
63805888789875,2.2,0.7,0.0,0.0,1.5,--
63805888790875,2.1,0.6,0.0,0.0,1.5,--
63805888791871,2.8,1.3,0.0,0.0,1.5,--
63805888792868,2.2,0.7,0.0,0.0,1.5,--
63805888793872,2.6,1.2,0.0,0.0,1.5,--
63805888794878,2.2,0.8,0.0,0.0,1.5,--
63805888795878,2.0,0.5,0.0,0.0,1.5,--
63805888796908,3.9,2.4,0.0,0.0,1.5,--
63805888797908,2.9,1.5,0.0,0.0,1.5,--
63805888798935,2.8,1.4,0.0,0.0,1.5,--
63805888799943,2.4,0.9,0.0,0.0,1.5,--
63805888800950,2.2,0.7,0.0,0.0,1.5,--
63805888801952,3.5,2.0,0.0,0.0,1.5,--
63805888802940,2.7,1.2,0.0,0.0,1.5,--
63805888803945,3.4,1.9,0.0,0.0,1.5,--
63805888804952,4.2,2.8,0.0,0.0,1.5,--
63805888805964,2.7,1.3,0.0,0.0,1.5,--
63805888806974,2.6,1.1,0.0,0.0,1.5,--
63805888807990,1.7,0.2,0.0,0.0,1.5,--
63805888808988,1.9,0.4,0.0,0.0,1.5,--
63805888809991,1.9,0.4,0.0,0.0,1.5,--
63805888810994,1.7,0.2,0.0,0.0,1.5,--
63805888811991,2.5,1.0,0.0,0.0,1.5,--
63805888813004,1.6,0.1,0.0,0.0,1.5,--
63805888814005,2.4,0.9,0.0,0.0,1.5,--
63805888815009,1.7,0.2,0.0,0.0,1.5,--
63805888816007,1.8,0.3,0.0,0.0,1.5,--
63805888817008,2.6,1.1,0.0,0.0,1.5,--
63805888818019,1.7,0.2,0.0,0.0,1.5,--
63805888819046,2.2,0.7,0.0,0.0,1.5,--
63805888820049,2.1,0.6,0.0,0.0,1.5,--
63805888821069,1.9,0.4,0.0,0.0,1.5,--
63805888822070,2.8,1.3,0.0,0.0,1.5,--
63805888823091,2.2,0.7,0.0,0.0,1.5,--
63805888824093,1.8,0.4,0.0,0.0,1.5,--
63805888825107,1.8,0.3,0.0,0.0,1.5,--
63805888826106,1.8,0.3,0.0,0.0,1.5,--
63805888827105,2.2,0.7,0.0,0.0,1.5,--
63805888828121,2.2,0.7,0.0,0.0,1.5,--
63805888829121,2.0,0.5,0.0,0.0,1.5,--
63805888830122,1.8,0.3,0.0,0.0,1.5,--
63805888831138,1.9,0.4,0.0,0.0,1.5,--
63805888832138,2.0,0.5,0.0,0.0,1.5,--
63805888833143,2.8,1.3,0.0,0.0,1.5,--
63805888834152,1.9,0.4,0.0,0.0,1.5,--
63805888835169,1.9,0.4,0.0,0.0,1.5,--
63805888836187,1.7,0.2,0.0,0.0,1.5,--
63805888837184,1.7,0.2,0.0,0.0,1.5,--
63805888838180,2.9,1.4,0.0,0.0,1.5,--
63805888839184,1.7,0.2,0.0,0.0,1.5,--
63805888840201,1.8,0.3,0.0,0.0,1.5,--
63805888841200,1.7,0.3,0.0,0.0,1.5,--
63805888842214,1.6,0.2,0.0,0.0,1.5,--
63805888843236,2.8,1.3,0.0,0.0,1.5,--
63805888844250,2.0,0.5,0.0,0.0,1.5,--
63805888845270,2.9,1.3,0.0,0.1,1.5,--
63805888846279,2.2,0.7,0.0,0.0,1.5,--
63805888847282,2.0,0.5,0.0,0.0,1.5,--
63805888848291,3.0,1.5,0.0,0.0,1.5,--
63805888849304,1.7,0.3,0.0,0.0,1.5,--
63805888850320,1.8,0.3,0.0,0.0,1.5,--
63805888851331,1.6,0.1,0.0,0.0,1.5,--
63805888852350,1.9,0.4,0.0,0.0,1.5,--
63805888853350,3.7,2.3,0.0,0.0,1.5,--
63805888854374,4.3,2.8,0.0,0.0,1.5,--
63805888855387,2.7,1.2,0.0,0.0,1.5,--
63805888856388,2.5,1.0,0.0,0.0,1.5,--
63805888857407,4.1,2.6,0.0,0.0,1.5,--
63805888858423,7.0,5.5,0.0,0.0,1.5,--
63805888859436,4.7,3.2,0.0,0.0,1.5,--
63805888860447,2.6,1.2,0.0,0.0,1.5,--
63805888861450,3.2,1.7,0.0,0.0,1.5,--
63805888862447,2.6,1.2,0.0,0.0,1.5,--
63805888863442,3.7,2.2,0.0,0.0,1.5,--
63805888864444,2.1,0.6,0.0,0.0,1.5,--
63805888865443,2.4,0.9,0.0,0.0,1.5,--
63805888866446,1.9,0.4,0.0,0.0,1.5,--
63805888867448,3.4,1.9,0.0,0.0,1.5,--
63805888868447,3.2,1.7,0.0,0.0,1.5,--
63805888869444,2.1,0.6,0.0,0.0,1.5,--
63805888870468,3.7,2.2,0.0,0.0,1.5,--
63805888871472,1.9,0.4,0.0,0.0,1.5,--
63805888872476,2.4,0.9,0.0,0.0,1.5,--
63805888873492,4.8,3.3,0.0,0.0,1.5,--
63805888874494,2.7,1.2,0.0,0.0,1.5,--
63805888875491,1.9,0.4,0.0,0.0,1.5,--
63805888876492,1.9,0.5,0.0,0.0,1.5,--
63805888877507,2.1,0.6,0.0,0.0,1.5,--
63805888878516,3.6,2.1,0.0,0.0,1.5,--
63805888879532,2.5,1.0,0.0,0.0,1.5,--
63805888880562,1.9,0.5,0.0,0.0,1.5,--
63805888881566,1.9,0.4,0.0,0.0,1.5,--
63805888882579,2.0,0.5,0.0,0.0,1.5,--
63805888883589,3.0,1.6,0.0,0.0,1.5,--
63805888884606,2.4,1.0,0.0,0.0,1.5,--
63805888885605,2.0,0.5,0.0,0.0,1.5,--
63805888886614,1.9,0.4,0.0,0.0,1.5,--
63805888887624,2.1,0.7,0.0,0.0,1.5,--
63805888888612,2.9,1.4,0.0,0.0,1.5,--
63805888889616,2.2,0.7,0.0,0.0,1.5,--
63805888890628,2.5,1.0,0.0,0.0,1.5,--
63805888891635,1.9,0.4,0.0,0.0,1.5,--
63805888892641,2.2,0.7,0.0,0.0,1.5,--
63805888893646,2.4,1.0,0.0,0.0,1.5,--
63805888894652,3.3,1.8,0.0,0.0,1.5,--
63805888895649,2.2,0.7,0.0,0.0,1.5,--
63805888896645,1.8,0.3,0.0,0.0,1.5,--
63805888897646,1.8,0.3,0.0,0.0,1.5,--
63805888898647,2.5,1.0,0.0,0.0,1.5,--
63805888899645,3.0,1.5,0.0,0.0,1.5,--
63805888900651,2.9,1.4,0.0,0.0,1.5,--
63805888901651,2.1,0.6,0.0,0.0,1.5,--
63805888902649,2.5,1.0,0.0,0.0,1.5,--
63805888903653,1.9,0.4,0.0,0.0,1.5,--
63805888904649,3.3,1.8,0.0,0.0,1.5,--
63805888905648,1.9,0.4,0.0,0.0,1.5,--
63805888906659,2.4,0.9,0.0,0.0,1.5,--
63805888907673,2.3,0.8,0.0,0.0,1.5,--
63805888908678,2.6,1.1,0.0,0.0,1.5,--
63805888909702,3.1,1.6,0.0,0.0,1.5,--
63805888910700,2.0,0.5,0.0,0.0,1.5,--
63805888911704,2.4,0.9,0.0,0.0,1.5,--
63805888912690,2.1,0.7,0.0,0.0,1.5,--
63805888913705,2.3,0.8,0.0,0.0,1.5,--
63805888914714,3.3,1.8,0.0,0.0,1.5,--
63805888915708,2.2,0.7,0.0,0.0,1.5,--
63805888916727,2.2,0.7,0.0,0.0,1.5,--
63805888917735,2.5,1.0,0.0,0.0,1.5,--
63805888918746,2.1,0.6,0.0,0.0,1.5,--
63805888919744,3.2,1.8,0.0,0.0,1.5,--
63805888920750,2.3,0.8,0.0,0.0,1.5,--
63805888921741,2.8,1.3,0.0,0.0,1.5,--
63805888922743,1.9,0.4,0.0,0.0,1.5,--
63805888923745,1.9,0.4,0.0,0.0,1.5,--
63805888924737,3.1,1.7,0.0,0.0,1.5,--
63805888925743,2.1,0.7,0.0,0.0,1.5,--
63805888926742,1.9,0.4,0.0,0.0,1.5,--
63805888927753,2.1,0.7,0.0,0.0,1.5,--
63805888928759,2.3,0.8,0.0,0.0,1.5,--
63805888929759,2.9,1.4,0.0,0.0,1.5,--
63805888930762,2.3,0.9,0.0,0.0,1.5,--
63805888931773,1.8,0.3,0.0,0.0,1.5,--
63805888932790,1.8,0.3,0.0,0.0,1.5,--
63805888933796,1.7,0.2,0.0,0.0,1.5,--
63805888934806,2.4,0.9,0.0,0.0,1.5,--
63805888935821,1.9,0.4,0.0,0.0,1.5,--
63805888936819,2.1,0.7,0.0,0.0,1.5,--
