,population_size,Probability_Abandonment,n_estimators,criterion,max_features,Accuracy,Time_Taken (s),Energy_Consumed (J),Carbon_Produced (g)
0,38,0.4953294691693303,73,entropy,None,0.897,25,89.49999999999999,21.13194444444444
1,38,0.4953294691693303,73,entropy,None,0.8985,24,80.2,18.93611111111111
2,45,0.25965295529286125,871,gini,None,0.895,187,632.3999999999995,149.31666666666655
3,39,0.3536874177475291,72,gini,None,0.896,17,61.3,14.47361111111111
4,67,0.313573313447042,286,entropy,None,0.8975,106,364.69999999999993,86.1097222222222
5,78,0.12694157651078805,668,entropy,sqrt,0.8985,107,363.6000000000001,85.85000000000002
6,59,0.4053100917601321,183,gini,None,0.8955,43,148.0,34.94444444444444
7,32,0.7689723972750362,631,entropy,sqrt,0.898,104,354.20000000000005,83.63055555555556
8,52,0.7041344569313142,976,gini,None,0.8955,211,656.5000000000009,155.00694444444466
9,74,0.23221076403594584,600,entropy,sqrt,0.8985,94,297.69999999999993,70.29027777777776
10,13,0.5922550040297156,93,entropy,log2,0.8985,13,44.30000000000001,10.459722222222224
11,20,0.16027244805515745,323,gini,log2,0.899,34,106.30000000000003,25.098611111111115
12,51,0.24417101054449433,196,entropy,log2,0.898,30,93.9,22.170833333333334
13,98,0.3908517219941403,610,entropy,log2,0.8985,93,290.2999999999999,68.54305555555553
14,31,0.7033589993373778,834,gini,log2,0.896,85,261.49999999999994,61.74305555555554
15,20,0.12383960023927079,322,gini,log2,0.896,32,101.19999999999999,23.894444444444442
16,61,0.9157731409121949,761,entropy,None,0.898,275,875.3000000000011,206.6680555555558
17,57,0.1665939695561264,768,gini,log2,0.8965,76,238.3999999999999,56.28888888888886
18,94,0.2642561544111848,688,gini,None,0.895,154,481.9000000000002,113.78194444444449
19,85,0.389992546650089,774,gini,None,0.8955,184,611.6999999999996,144.42916666666656
20,61,0.2583728260993092,808,gini,None,0.896,193,659.0999999999999,155.6208333333333
21,37,0.5951622777011842,773,gini,None,0.8955,188,637.8000000000003,150.59166666666673
22,73,0.48608672798831554,193,entropy,log2,0.898,33,113.9,26.893055555555556
23,10,0.5369812295627355,175,gini,None,0.8965,43,146.7,34.637499999999996
24,86,0.49239460125193146,885,entropy,log2,0.8985,140,437.40000000000003,103.275
25,87,0.25389202839485786,344,entropy,sqrt,0.897,56,178.6,42.169444444444444
26,39,0.4479034243349682,533,gini,None,0.8955,120,379.6000000000001,89.6277777777778
27,64,0.22088008807735754,394,entropy,sqrt,0.898,64,206.89999999999995,48.85138888888888
28,40,0.34043371201449535,474,entropy,sqrt,0.8965,75,234.8999999999999,55.46249999999997
29,98,0.6753288521333073,795,entropy,sqrt,0.8995,125,390.7,92.2486111111111
30,10,0.9598950391596023,131,gini,log2,0.895,13,40.2,9.491666666666667
31,93,0.8972010678062589,823,gini,None,0.8955,185,574.6000000000005,135.66944444444457
32,47,0.7922334344546738,277,entropy,None,0.8975,105,343.7,81.15138888888889
33,18,0.23016169942953718,335,gini,None,0.8965,74,231.79999999999987,54.730555555555526
34,27,0.685719789368267,546,gini,None,0.895,119,365.80000000000007,86.36944444444445
35,10,0.49508402828945564,945,gini,sqrt,0.8955,96,295.49999999999994,69.77083333333331
36,98,0.6101960134378634,443,gini,log2,0.895,43,133.59999999999994,31.54444444444443
37,82,0.7532204675936485,459,gini,log2,0.8955,47,145.1,34.25972222222222
38,16,0.27982757069434405,377,gini,None,0.8965,82,254.0999999999998,59.99583333333328
39,49,0.7899437382869932,436,gini,None,0.895,95,293.7,69.34583333333333
40,24,0.9163187143901852,577,gini,sqrt,0.898,58,177.7000000000001,41.95694444444447
41,55,0.5576437198830669,652,entropy,None,0.8975,228,674.8999999999986,159.35138888888855
42,73,0.1357073842195424,271,entropy,None,0.898,95,288.20000000000005,68.04722222222223
43,77,0.5135023731377653,724,entropy,None,0.8965,255,751.3999999999986,177.41388888888855
44,51,0.27346330962535587,778,gini,sqrt,0.8965,75,221.80000000000015,52.36944444444448
45,67,0.5796525370157818,33,entropy,log2,0.896,5,14.9,3.5180555555555557
46,22,0.9032344698512054,812,gini,None,0.896,177,538.0999999999992,127.05138888888871
47,76,0.4704737233375671,768,gini,sqrt,0.8955,75,222.30000000000013,52.487500000000026
48,40,0.737190610436478,832,gini,log2,0.8965,82,242.90000000000015,57.35138888888892
49,59,0.9790192273605962,869,gini,None,0.8965,186,546.2999999999994,128.98749999999984
50,43,0.6394071297989992,447,gini,log2,0.8975,45,137.40000000000006,32.44166666666668
51,44,0.4842884222058963,378,gini,sqrt,0.896,36,109.10000000000004,25.75972222222223
52,71,0.12151329121962627,105,entropy,None,0.8975,37,108.90000000000005,25.71250000000001
53,69,0.4614172015655328,826,gini,sqrt,0.8965,82,239.30000000000018,56.50138888888893
54,67,0.27928677396226226,466,gini,log2,0.8955,46,135.30000000000007,31.945833333333347
55,28,0.28080793323125386,717,entropy,None,0.898,247,719.1999999999981,169.81111111111065
56,30,0.8266680382667214,516,gini,None,0.896,107,316.30000000000007,74.68194444444445
57,19,0.32453425052932156,629,entropy,None,0.8975,206,603.2999999999992,142.44583333333313
58,49,0.7470490074877814,673,gini,None,0.8965,136,399.2,94.25555555555555
59,68,0.3879572263483083,239,gini,sqrt,0.898,21,61.59999999999999,14.54444444444444
60,49,0.4737898274773177,795,gini,sqrt,0.896,72,208.30000000000015,49.18194444444448
61,59,0.9376984147341137,413,gini,sqrt,0.896,37,108.8,25.688888888888886
62,92,0.35780885069155777,806,entropy,sqrt,0.899,114,335.80000000000007,79.28611111111113
63,89,0.6340634303925566,778,gini,None,0.8955,157,461.2999999999999,108.91805555555553
64,18,0.9102323867447084,615,entropy,log2,0.897,88,261.40000000000015,61.71944444444448
65,34,0.9755381996730144,881,gini,log2,0.896,82,240.9000000000002,56.87916666666671
66,66,0.9579570643168283,367,entropy,None,0.8965,127,382.99999999999994,90.43055555555554
67,48,0.14738494932658042,525,gini,log2,0.8985,51,149.80000000000007,35.36944444444446
68,38,0.994680172912391,507,gini,sqrt,0.896,49,144.70000000000007,34.165277777777796
69,24,0.36216958095944096,572,entropy,None,0.8975,196,581.7999999999993,137.36944444444427
70,54,0.8122240036783512,558,entropy,log2,0.8995,86,275.49999999999983,65.04861111111107
71,51,0.6163577052494227,951,gini,log2,0.8955,95,295.5999999999999,69.79444444444442
72,27,0.6342721988202626,616,gini,None,0.8975,132,412.00000000000006,97.27777777777779
73,85,0.10724294065476407,365,gini,sqrt,0.8955,36,111.19999999999997,26.25555555555555
74,63,0.4815310535390863,495,entropy,None,0.8975,175,545.3000000000004,128.75138888888898
75,42,0.8654279975916322,638,entropy,sqrt,0.8985,96,293.69999999999976,69.34583333333327
76,18,0.5215917045138609,58,entropy,sqrt,0.897,10,30.2,7.1305555555555555
77,94,0.6454002770254591,72,gini,log2,0.895,6,17.8,4.2027777777777775
78,22,0.946876111692899,985,gini,log2,0.8965,95,280.10000000000014,66.13472222222225
79,14,0.517810529165397,645,gini,None,0.8965,135,397.79999999999995,93.92499999999998
80,49,0.2638614154375909,405,gini,log2,0.896,40,121.90000000000003,28.781944444444452
81,46,0.9471347460560093,867,entropy,None,0.8965,298,873.4999999999977,206.243055555555
82,63,0.22025921548893507,554,entropy,None,0.8985,190,557.3999999999993,131.60833333333315
83,12,0.3437500638392901,96,gini,sqrt,0.897,9,26.8,6.3277777777777775
84,93,0.17642140736590828,666,gini,None,0.896,143,419.5999999999996,99.07222222222214
85,55,0.5971925233577772,144,entropy,log2,0.8985,21,62.99999999999999,14.874999999999998
86,78,0.4646871121023959,728,entropy,None,0.8975,260,818.6000000000014,193.28055555555588
87,22,0.7078830596818639,899,entropy,None,0.897,317,974.8000000000023,230.16111111111167
88,50,0.9071538954784392,270,gini,None,0.896,60,186.9999999999999,44.15277777777775
89,23,0.8402695649636885,302,gini,log2,0.8955,29,90.30000000000003,21.32083333333334
90,69,0.20242179829999102,188,entropy,log2,0.8985,27,83.09999999999998,19.620833333333326
91,88,0.40282509924437215,921,entropy,sqrt,0.898,139,409.1999999999997,96.61666666666659
92,77,0.6750441671817832,336,entropy,log2,0.8985,51,153.8000000000001,36.31388888888891
93,31,0.21458525735250308,417,entropy,None,0.897,144,425.7999999999999,100.53611111111108
94,65,0.7928751053116806,526,gini,log2,0.8955,51,150.60000000000002,35.55833333333334
95,16,0.358993131870312,256,entropy,log2,0.8985,38,112.30000000000003,26.515277777777783
96,41,0.5457185510226596,749,gini,None,0.895,160,469.7999999999996,110.92499999999991
97,82,0.38610493867868456,846,entropy,None,0.898,291,854.3999999999982,201.7333333333329
98,32,0.6276991360692568,59,gini,None,0.896,14,41.7,9.845833333333333
99,34,0.31962007007300497,339,entropy,sqrt,0.898,52,157.0,37.06944444444444
100,91,0.5684700689543954,618,entropy,sqrt,0.897,93,271.20000000000016,64.03333333333337
